pf,winrate,max_dd,max_dd_pct,total_pnl,avg_holding_seconds,trade_count,strategy_name,symbol,timeframe
0.2082,22.49,313.04,0.31,-312.78,1218.8,1392,ema_cross_12b3b7f5,EURJPY,M1
0.1075,14.64,615.83,0.62,-615.83,553.6,2842,ema_cross_13cabf4a,EURJPY,M1
0.0229,6.01,698.56,0.7,-698.57,400.0,3143,ema_cross_1426d360,EURJPY,M1
0.2404,31.23,372.55,0.37,-372.36,1434.1,1729,ema_cross_22facf43,EURJPY,M1
0.184,52.76,425.23,0.43,-425.23,1775.0,1996,ema_cross_484c5bb3,EURJPY,M1
0.2951,18.93,309.15,0.31,-308.39,2731.1,1437,ema_cross_6e70a4c7,EURJPY,M1
0.0303,7.44,477.89,0.48,-477.74,314.5,2151,ema_cross_abdcab58,EURJPY,M1
0.0839,11.41,587.27,0.59,-587.27,556.6,2620,ema_cross_c0bc017b,EURJPY,M1
0.2309,51.15,401.84,0.4,-401.84,2210.5,1787,ema_cross_c2b18d6b,EURJPY,M1
0.1206,51.03,219.05,0.22,-219.02,1654.9,1017,ema_cross_fed33d85,EURJPY,M1
0.0016,1.36,406.85,0.41,-406.85,781.1,1833,momentum_12bcd399,EURJPY,M1
0.0602,7.46,2318.52,2.32,-2318.52,359.5,10449,momentum_17419ccb,EURJPY,M1
0.1103,39.12,1000.15,1.0,-1000.15,1249.1,4543,momentum_1a6eb05d,EURJPY,M1
0.1288,32.11,933.04,0.93,-933.04,951.4,4229,momentum_2e044141,EURJPY,M1
0.0964,32.7,1001.84,1.0,-1001.84,769.0,4548,momentum_31690f5b,EURJPY,M1
0.0012,1.12,931.93,0.93,-931.93,297.4,4268,momentum_3c40121e,EURJPY,M1
0.0679,22.72,1295.09,1.3,-1295.1,486.4,5871,momentum_4861fb73,EURJPY,M1
0.0003,0.43,1251.38,1.25,-1251.38,531.4,5621,momentum_5a6bc941,EURJPY,M1
0.2146,27.71,684.36,0.68,-684.06,1253.2,3086,momentum_9f958dd1,EURJPY,M1
0.2149,22.82,328.35,0.33,-328.31,1342.8,1433,momentum_e177235e,EURJPY,M1
0.0123,6.73,551.41,0.55,-551.41,177.1,2483,momentum_ec4b3173,EURJPY,M1
0.2069,47.05,781.92,0.78,-781.75,1854.7,3503,rsi_reversal_01d38f6e,EURJPY,M1
0.3606,57.69,3.49,0.0,-3.4,1924.6,26,rsi_reversal_03ce1c28,EURJPY,M1
0.124,44.44,804.19,0.8,-804.19,1284.9,3686,rsi_reversal_8af8a375,EURJPY,M1
0.0023,1.74,1585.94,1.59,-1585.94,204.3,7236,rsi_reversal_d63b314d,EURJPY,M1
0.1182,8.87,1285.12,1.29,-1285.12,495.9,5916,rsi_reversal_de920a1b,EURJPY,M1
0.2381,45.62,525.64,0.53,-525.64,1846.6,2453,rsi_trend_a69f185a,EURJPY,M1
0.0076,5.58,986.06,0.99,-986.06,210.9,4518,rsi_trend_aaad8ce7,EURJPY,M1
0.1661,11.91,589.57,0.59,-589.57,804.5,2737,rsi_trend_cfcc4c41,EURJPY,M1
0.0275,6.61,933.57,0.93,-933.57,334.3,4251,rsi_trend_d93f8fad,EURJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0adcc5af,EURJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0ae7fef9,EURJPY,M5
0.3225,50.0,0.46,0.0,-0.31,6300.0,2,atr_break_386a6412,EURJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_792eae57,EURJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,EURJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,EURJPY,M5
0.1011,24.3,201.06,0.2,-201.06,4078.2,889,bb_bounce_4b9af643,EURJPY,M5
0.0281,10.94,312.29,0.31,-312.18,1616.1,1408,bb_bounce_855c42e6,EURJPY,M5
0.08,7.25,200.71,0.2,-200.71,1841.5,897,bb_bounce_87b909f7,EURJPY,M5
0.0974,13.96,131.96,0.13,-131.96,1963.5,609,bb_bounce_ba35fab5,EURJPY,M5
0.0012,1.19,339.47,0.34,-339.45,2713.7,1511,bb_bounce_c1934f40,EURJPY,M5
0.0258,15.67,101.73,0.1,-101.73,2213.9,466,bb_break_591b1a3c,EURJPY,M5
0.0181,9.67,299.11,0.3,-299.07,2380.9,1334,bb_break_d3dc0be4,EURJPY,M5
0.05,5.85,109.82,0.11,-109.82,1405.0,496,bb_break_eda60187,EURJPY,M5
0.0134,10.41,126.31,0.13,-126.31,3146.4,586,donchian_break_88941f39,EURJPY,M5
0.0018,1.7,155.73,0.16,-155.73,2807.1,765,donchian_break_c367b371,EURJPY,M5
0.024,15.37,136.66,0.14,-136.66,3145.3,644,donchian_break_c3e2df3a,EURJPY,M5
0.1761,24.75,44.3,0.04,-44.3,6427.7,202,donchian_break_c808e1f8,EURJPY,M5
0.2427,27.55,64.96,0.06,-64.7,7850.0,294,donchian_break_ff63572a,EURJPY,M5
0.0963,25.29,157.25,0.16,-157.11,4035.7,692,ema_cross_05fb5502,EURJPY,M5
0.2068,22.45,66.65,0.07,-66.65,6209.2,294,ema_cross_12b3b7f5,EURJPY,M5
0.0836,11.98,126.19,0.13,-126.19,2770.2,551,ema_cross_13cabf4a,EURJPY,M5
0.0272,5.23,138.35,0.14,-138.35,1989.7,631,ema_cross_1426d360,EURJPY,M5
0.1745,25.21,89.15,0.09,-88.2,6784.0,349,ema_cross_22facf43,EURJPY,M5
0.1866,52.79,79.46,0.08,-79.46,9702.7,377,ema_cross_484c5bb3,EURJPY,M5
0.2701,18.12,65.76,0.07,-65.76,13646.3,287,ema_cross_6e70a4c7,EURJPY,M5
0.0388,8.54,97.38,0.1,-97.29,1711.7,445,ema_cross_abdcab58,EURJPY,M5
0.094,11.98,120.85,0.12,-120.85,2841.6,551,ema_cross_c0bc017b,EURJPY,M5
0.269,55.22,65.79,0.07,-65.79,11931.9,335,ema_cross_c2b18d6b,EURJPY,M5
0.0986,45.16,51.7,0.05,-51.44,7999.1,217,ema_cross_fed33d85,EURJPY,M5
0.0014,1.86,83.68,0.08,-83.68,3954.1,377,momentum_12bcd399,EURJPY,M5
0.0541,7.25,455.51,0.46,-455.5,1839.3,2040,momentum_17419ccb,EURJPY,M5
0.1169,42.0,194.79,0.19,-194.62,6112.3,919,momentum_1a6eb05d,EURJPY,M5
0.1438,34.76,165.8,0.17,-165.8,5016.9,794,momentum_2e044141,EURJPY,M5
0.0969,33.26,190.52,0.19,-190.52,3864.7,884,momentum_31690f5b,EURJPY,M5
0.0007,1.02,195.02,0.2,-195.02,1473.1,880,momentum_3c40121e,EURJPY,M5
0.0594,20.84,263.65,0.26,-263.65,2395.1,1161,momentum_4861fb73,EURJPY,M5
0.0001,0.27,242.26,0.24,-242.26,2649.3,1118,momentum_5a6bc941,EURJPY,M5
0.2245,28.6,127.25,0.13,-126.3,6513.2,584,momentum_9f958dd1,EURJPY,M5
0.2756,28.05,60.58,0.06,-60.58,6792.1,303,momentum_e177235e,EURJPY,M5
0.0092,6.49,105.43,0.11,-105.42,931.4,478,momentum_ec4b3173,EURJPY,M5
0.2203,48.29,149.72,0.15,-148.92,9349.1,702,rsi_reversal_01d38f6e,EURJPY,M5
0.2975,50.0,1.15,0.0,-1.05,14100.0,6,rsi_reversal_03ce1c28,EURJPY,M5
0.123,44.27,170.36,0.17,-170.36,6069.9,768,rsi_reversal_8af8a375,EURJPY,M5
0.0015,1.36,322.85,0.32,-322.85,997.7,1471,rsi_reversal_d63b314d,EURJPY,M5
0.1023,7.87,285.21,0.29,-285.21,2493.3,1270,rsi_reversal_de920a1b,EURJPY,M5
0.2561,46.35,95.05,0.1,-94.81,9818.2,466,rsi_trend_a69f185a,EURJPY,M5
0.0078,5.57,200.98,0.2,-200.98,1039.5,916,rsi_trend_aaad8ce7,EURJPY,M5
0.1604,11.66,128.89,0.13,-128.15,3932.4,583,rsi_trend_cfcc4c41,EURJPY,M5
0.0238,6.87,183.98,0.18,-183.98,1710.1,844,rsi_trend_d93f8fad,EURJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0adcc5af,GBPJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0ae7fef9,GBPJPY,M1
0.0413,5.56,5.13,0.01,-5.13,916.7,18,atr_break_386a6412,GBPJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_792eae57,GBPJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,GBPJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,GBPJPY,M1
0.125,27.52,1115.73,1.12,-1115.73,635.3,4953,bb_bounce_4b9af643,GBPJPY,M1
0.0548,15.44,1548.42,1.55,-1548.25,310.8,7124,bb_bounce_855c42e6,GBPJPY,M1
0.0889,8.22,1046.08,1.05,-1046.08,290.8,4782,bb_bounce_87b909f7,GBPJPY,M1
0.09,14.22,672.6,0.67,-672.58,290.7,3116,bb_bounce_ba35fab5,GBPJPY,M1
0.0021,1.65,1812.77,1.81,-1812.77,456.1,8194,bb_bounce_c1934f40,GBPJPY,M1
0.0335,16.89,500.01,0.5,-499.92,416.1,2285,bb_break_591b1a3c,GBPJPY,M1
0.0236,10.44,1558.53,1.56,-1558.53,414.8,7062,bb_break_d3dc0be4,GBPJPY,M1
0.0603,6.51,579.17,0.58,-579.1,255.4,2579,bb_break_eda60187,GBPJPY,M1
0.0483,22.9,671.19,0.67,-671.19,587.4,3088,donchian_break_88941f39,GBPJPY,M1
0.0044,3.64,893.75,0.89,-893.76,546.1,4039,donchian_break_c367b371,GBPJPY,M1
0.0565,24.73,751.1,0.75,-751.1,507.1,3482,donchian_break_c3e2df3a,GBPJPY,M1
0.1715,19.33,251.34,0.25,-250.89,950.0,1071,donchian_break_c808e1f8,GBPJPY,M1
0.2405,26.27,366.31,0.37,-365.35,985.5,1694,donchian_break_ff63572a,GBPJPY,M1
0.148,27.15,816.75,0.82,-816.59,716.1,3676,ema_cross_05fb5502,GBPJPY,M1
0.2623,23.37,301.0,0.3,-301.0,1226.2,1352,ema_cross_12b3b7f5,GBPJPY,M1
0.1198,18.63,625.34,0.63,-624.94,496.4,2802,ema_cross_13cabf4a,GBPJPY,M1
0.0347,7.96,683.54,0.68,-683.54,368.5,3115,ema_cross_1426d360,GBPJPY,M1
0.2442,33.54,390.87,0.39,-390.87,1222.1,1765,ema_cross_22facf43,GBPJPY,M1
0.1579,48.49,536.3,0.54,-536.3,1211.2,2390,ema_cross_484c5bb3,GBPJPY,M1
0.2905,19.79,351.8,0.35,-351.8,2196.1,1546,ema_cross_6e70a4c7,GBPJPY,M1
0.0351,7.77,460.22,0.46,-460.22,291.6,2072,ema_cross_abdcab58,GBPJPY,M1
0.103,11.69,554.86,0.55,-554.71,408.9,2591,ema_cross_c0bc017b,GBPJPY,M1
0.2164,50.83,474.03,0.47,-474.03,1543.1,2111,ema_cross_c2b18d6b,GBPJPY,M1
0.104,44.47,225.46,0.23,-225.46,1290.6,1030,ema_cross_fed33d85,GBPJPY,M1
0.0025,1.96,474.08,0.47,-474.09,531.8,2192,momentum_12bcd399,GBPJPY,M1
0.0746,9.0,2395.77,2.4,-2395.5,324.8,10922,momentum_17419ccb,GBPJPY,M1
0.1661,44.31,1053.64,1.05,-1052.64,1194.1,4681,momentum_1a6eb05d,GBPJPY,M1
0.1646,29.03,1010.28,1.01,-1010.01,859.7,4503,momentum_2e044141,GBPJPY,M1
0.0825,29.01,1250.67,1.25,-1250.48,523.5,5602,momentum_31690f5b,GBPJPY,M1
0.0045,3.11,1029.79,1.03,-1029.79,246.0,4696,momentum_3c40121e,GBPJPY,M1
0.0928,21.15,1449.69,1.45,-1449.16,383.7,6605,momentum_4861fb73,GBPJPY,M1
0.0004,0.5,1477.14,1.48,-1477.14,362.5,6655,momentum_5a6bc941,GBPJPY,M1
0.2449,32.53,676.66,0.68,-676.53,1084.5,3188,momentum_9f958dd1,GBPJPY,M1
0.2371,26.67,364.87,0.36,-364.87,1087.1,1605,momentum_e177235e,GBPJPY,M1
0.0299,10.47,552.34,0.55,-552.28,174.4,2502,momentum_ec4b3173,GBPJPY,M1
0.259,46.23,836.23,0.84,-835.77,1808.7,3578,rsi_reversal_01d38f6e,GBPJPY,M1
0.4721,52.5,5.24,0.01,-4.72,1314.0,40,rsi_reversal_03ce1c28,GBPJPY,M1
0.1159,43.62,895.37,0.9,-895.09,1021.1,3964,rsi_reversal_8af8a375,GBPJPY,M1
0.0026,2.0,1781.17,1.78,-1781.17,144.8,8030,rsi_reversal_d63b314d,GBPJPY,M1
0.1415,8.67,1282.25,1.28,-1281.55,505.0,5857,rsi_reversal_de920a1b,GBPJPY,M1
0.2819,43.82,561.07,0.56,-561.07,1810.1,2458,rsi_trend_a69f185a,GBPJPY,M1
0.0073,4.88,1095.94,1.1,-1095.94,154.9,4981,rsi_trend_aaad8ce7,GBPJPY,M1
0.1491,11.2,715.16,0.72,-715.16,566.4,3249,rsi_trend_cfcc4c41,GBPJPY,M1
0.0395,9.58,938.65,0.94,-938.54,321.4,4237,rsi_trend_d93f8fad,GBPJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0adcc5af,GBPJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0ae7fef9,GBPJPY,M5
inf,100.0,0.0,0.0,0.12,7500.0,1,atr_break_386a6412,GBPJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_792eae57,GBPJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,GBPJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,GBPJPY,M5
0.1339,29.23,211.73,0.21,-211.54,3238.6,958,bb_bounce_4b9af643,GBPJPY,M5
0.053,14.94,309.27,0.31,-309.22,1565.8,1419,bb_bounce_855c42e6,GBPJPY,M5
0.1076,9.51,196.65,0.2,-196.65,1502.2,936,bb_bounce_87b909f7,GBPJPY,M5
0.0942,14.65,132.68,0.13,-132.68,1504.8,628,bb_bounce_ba35fab5,GBPJPY,M5
0.0022,1.52,359.79,0.36,-359.79,2274.9,1643,bb_bounce_c1934f40,GBPJPY,M5
0.0349,17.51,105.07,0.11,-105.07,2155.1,457,bb_break_591b1a3c,GBPJPY,M5
0.0209,10.26,306.97,0.31,-306.97,2272.4,1394,bb_break_d3dc0be4,GBPJPY,M5
0.0562,5.53,116.93,0.12,-116.93,1154.9,506,bb_break_eda60187,GBPJPY,M5
0.0425,20.03,147.63,0.15,-147.51,2941.3,629,donchian_break_88941f39,GBPJPY,M5
0.0045,3.38,189.61,0.19,-189.61,2896.9,800,donchian_break_c367b371,GBPJPY,M5
0.0487,23.07,167.94,0.17,-167.82,2369.6,711,donchian_break_c3e2df3a,GBPJPY,M5
0.238,24.3,44.02,0.04,-43.71,5042.5,214,donchian_break_c808e1f8,GBPJPY,M5
0.1912,23.08,82.96,0.08,-82.66,4478.7,338,donchian_break_ff63572a,GBPJPY,M5
0.1331,25.03,181.75,0.18,-181.75,3412.1,787,ema_cross_05fb5502,GBPJPY,M5
0.2494,22.0,69.78,0.07,-69.42,6425.0,300,ema_cross_12b3b7f5,GBPJPY,M5
0.1256,19.01,129.13,0.13,-129.13,2478.6,584,ema_cross_13cabf4a,GBPJPY,M5
0.0225,5.31,148.82,0.15,-148.82,1920.0,640,ema_cross_1426d360,GBPJPY,M5
0.2166,31.15,86.59,0.09,-86.15,6164.8,366,ema_cross_22facf43,GBPJPY,M5
0.1497,49.18,110.25,0.11,-110.14,6151.9,486,ema_cross_484c5bb3,GBPJPY,M5
0.2549,18.15,79.3,0.08,-79.3,11022.5,325,ema_cross_6e70a4c7,GBPJPY,M5
0.0313,6.83,102.95,0.1,-102.95,1466.3,454,ema_cross_abdcab58,GBPJPY,M5
0.1009,11.31,124.13,0.12,-124.09,2092.0,566,ema_cross_c0bc017b,GBPJPY,M5
0.208,49.53,99.47,0.1,-99.18,7971.7,428,ema_cross_c2b18d6b,GBPJPY,M5
0.1211,47.58,47.0,0.05,-46.98,6557.7,227,ema_cross_fed33d85,GBPJPY,M5
0.0023,1.75,98.71,0.1,-98.71,2614.2,458,momentum_12bcd399,GBPJPY,M5
0.0762,9.12,478.11,0.48,-478.11,1623.7,2204,momentum_17419ccb,GBPJPY,M5
0.1905,46.28,188.4,0.19,-188.28,6184.5,914,momentum_1a6eb05d,GBPJPY,M5
0.1691,29.75,200.79,0.2,-200.7,4321.8,911,momentum_2e044141,GBPJPY,M5
0.0851,30.93,245.18,0.25,-245.13,2622.8,1138,momentum_31690f5b,GBPJPY,M5
0.0045,3.09,207.6,0.21,-207.6,1248.2,939,momentum_3c40121e,GBPJPY,M5
0.0993,22.01,284.12,0.28,-284.12,1989.3,1331,momentum_4861fb73,GBPJPY,M5
0.0008,0.44,297.07,0.3,-297.07,1778.6,1361,momentum_5a6bc941,GBPJPY,M5
0.2175,30.45,148.42,0.15,-147.79,5421.3,647,momentum_9f958dd1,GBPJPY,M5
0.2578,28.83,72.92,0.07,-72.46,6046.8,333,momentum_e177235e,GBPJPY,M5
0.0326,11.02,105.75,0.11,-105.75,878.8,481,momentum_ec4b3173,GBPJPY,M5
0.2619,46.3,162.15,0.16,-161.98,9128.2,702,rsi_reversal_01d38f6e,GBPJPY,M5
0.3446,42.86,1.43,0.0,-1.26,6557.1,7,rsi_reversal_03ce1c28,GBPJPY,M5
0.1215,45.24,167.2,0.17,-167.13,5016.7,778,rsi_reversal_8af8a375,GBPJPY,M5
0.0028,2.12,353.64,0.35,-353.64,710.7,1607,rsi_reversal_d63b314d,GBPJPY,M5
0.1187,7.56,293.91,0.29,-293.5,2338.0,1283,rsi_reversal_de920a1b,GBPJPY,M5
0.316,46.53,99.18,0.1,-98.34,9730.7,475,rsi_trend_a69f185a,GBPJPY,M5
0.0044,3.7,222.55,0.22,-222.55,772.8,1026,rsi_trend_aaad8ce7,GBPJPY,M5
0.1453,10.8,154.35,0.15,-154.35,2668.5,704,rsi_trend_cfcc4c41,GBPJPY,M5
0.047,10.26,178.57,0.18,-178.57,1610.6,838,rsi_trend_d93f8fad,GBPJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0adcc5af,USDJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0ae7fef9,USDJPY,M1
0.0308,11.11,2.92,0.0,-2.83,1186.7,9,atr_break_386a6412,USDJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_792eae57,USDJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,USDJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,USDJPY,M1
0.0851,21.79,855.88,0.86,-855.76,1101.8,3868,bb_bounce_4b9af643,USDJPY,M1
0.0115,6.46,1503.35,1.5,-1503.33,332.5,6859,bb_bounce_855c42e6,USDJPY,M1
0.1004,8.54,854.6,0.85,-854.6,604.7,3921,bb_bounce_87b909f7,USDJPY,M1
0.099,14.25,539.23,0.54,-539.23,647.6,2442,bb_bounce_ba35fab5,USDJPY,M1
0.0006,0.72,1490.97,1.49,-1490.97,683.4,6825,bb_bounce_c1934f40,USDJPY,M1
0.0235,13.34,488.24,0.49,-488.24,495.1,2197,bb_break_591b1a3c,USDJPY,M1
0.0214,9.97,1371.31,1.37,-1371.31,536.5,6352,bb_break_d3dc0be4,USDJPY,M1
0.0315,4.35,544.99,0.54,-545.0,265.7,2462,bb_break_eda60187,USDJPY,M1
0.0037,3.22,648.25,0.65,-648.25,607.4,2915,donchian_break_88941f39,USDJPY,M1
0.0,0.18,851.99,0.85,-851.99,579.5,3791,donchian_break_c367b371,USDJPY,M1
0.0072,5.75,674.51,0.67,-674.51,766.8,3025,donchian_break_c3e2df3a,USDJPY,M1
0.1463,28.36,203.25,0.2,-203.09,1472.2,892,donchian_break_c808e1f8,USDJPY,M1
0.2483,26.68,297.84,0.3,-297.55,2171.3,1327,donchian_break_ff63572a,USDJPY,M1
0.0575,23.94,754.85,0.75,-754.85,858.9,3384,ema_cross_05fb5502,USDJPY,M1
0.1778,24.3,284.67,0.28,-283.92,1345.0,1321,ema_cross_12b3b7f5,USDJPY,M1
0.077,10.64,629.88,0.63,-629.88,592.8,2857,ema_cross_13cabf4a,USDJPY,M1
0.02,4.52,693.09,0.69,-693.09,443.4,3140,ema_cross_1426d360,USDJPY,M1
0.1941,23.85,378.19,0.38,-378.19,1720.2,1631,ema_cross_22facf43,USDJPY,M1
0.2076,54.12,322.95,0.32,-322.95,2756.2,1565,ema_cross_484c5bb3,USDJPY,M1
0.2795,17.23,270.24,0.27,-270.24,3456.2,1242,ema_cross_6e70a4c7,USDJPY,M1
0.0249,7.49,479.69,0.48,-479.69,379.1,2162,ema_cross_abdcab58,USDJPY,M1
0.0936,14.49,566.93,0.57,-566.94,777.1,2561,ema_cross_c0bc017b,USDJPY,M1
0.2691,53.43,282.68,0.28,-282.18,3407.4,1372,ema_cross_c2b18d6b,USDJPY,M1
0.101,45.49,232.28,0.23,-232.03,2070.8,965,ema_cross_fed33d85,USDJPY,M1
0.0008,1.07,307.46,0.31,-307.46,1271.0,1404,momentum_12bcd399,USDJPY,M1
0.0459,6.35,2152.14,2.15,-2152.14,399.6,9759,momentum_17419ccb,USDJPY,M1
0.0454,25.75,1006.7,1.01,-1006.7,1250.4,4532,momentum_1a6eb05d,USDJPY,M1
0.0764,30.58,878.88,0.88,-878.88,1029.3,3993,momentum_2e044141,USDJPY,M1
0.1054,34.45,781.11,0.78,-781.11,1190.9,3504,momentum_31690f5b,USDJPY,M1
0.0002,0.27,823.07,0.82,-823.07,383.3,3698,momentum_3c40121e,USDJPY,M1
0.0344,19.29,1097.02,1.1,-1097.02,632.7,5028,momentum_4861fb73,USDJPY,M1
0.0001,0.09,977.0,0.98,-977.0,838.2,4439,momentum_5a6bc941,USDJPY,M1
0.1814,22.47,640.57,0.64,-640.57,1539.9,2773,momentum_9f958dd1,USDJPY,M1
0.242,23.24,256.05,0.26,-255.36,1746.4,1239,momentum_e177235e,USDJPY,M1
0.0032,2.8,540.26,0.54,-540.26,182.5,2460,momentum_ec4b3173,USDJPY,M1
0.1254,44.54,771.06,0.77,-771.06,1885.1,3451,rsi_reversal_01d38f6e,USDJPY,M1
0.1252,47.62,4.87,0.0,-4.79,1388.6,21,rsi_reversal_03ce1c28,USDJPY,M1
0.1232,41.52,764.13,0.76,-764.1,1543.5,3451,rsi_reversal_8af8a375,USDJPY,M1
0.0014,1.53,1365.09,1.37,-1365.07,316.3,6223,rsi_reversal_d63b314d,USDJPY,M1
0.0841,8.38,1275.98,1.28,-1275.82,506.6,5809,rsi_reversal_de920a1b,USDJPY,M1
0.1583,43.99,511.95,0.51,-511.95,1936.9,2364,rsi_trend_a69f185a,USDJPY,M1
0.0061,5.2,833.23,0.83,-833.23,318.7,3752,rsi_trend_aaad8ce7,USDJPY,M1
0.151,11.04,481.31,0.48,-480.87,1182.7,2129,rsi_trend_cfcc4c41,USDJPY,M1
0.016,4.09,939.18,0.94,-939.18,344.6,4255,rsi_trend_d93f8fad,USDJPY,M1
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0adcc5af,USDJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_0ae7fef9,USDJPY,M5
0.0,0.0,0.62,0.0,-0.61,8100.0,1,atr_break_386a6412,USDJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_792eae57,USDJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_dd927fc3,USDJPY,M5
0.0,0.0,0.0,0.0,0.0,0.0,0,atr_break_fddc5ccf,USDJPY,M5
0.0759,20.88,177.58,0.18,-177.51,5242.5,800,bb_bounce_4b9af643,USDJPY,M5
0.0125,6.72,305.62,0.31,-305.62,1689.1,1399,bb_bounce_855c42e6,USDJPY,M5
0.0969,8.46,174.07,0.17,-174.07,3173.1,792,bb_bounce_87b909f7,USDJPY,M5
0.1004,15.01,112.44,0.11,-112.44,3432.7,513,bb_bounce_ba35fab5,USDJPY,M5
0.0005,0.52,295.17,0.3,-295.17,3405.1,1356,bb_bounce_c1934f40,USDJPY,M5
0.0263,14.39,97.51,0.1,-97.51,2482.1,431,bb_break_591b1a3c,USDJPY,M5
0.019,8.87,283.9,0.28,-283.85,2685.3,1285,bb_break_d3dc0be4,USDJPY,M5
0.0254,3.56,120.25,0.12,-120.25,1298.9,534,bb_break_eda60187,USDJPY,M5
0.0025,3.69,129.82,0.13,-129.82,3096.0,597,donchian_break_88941f39,USDJPY,M5
0.0001,0.13,179.17,0.18,-179.17,2759.0,798,donchian_break_c367b371,USDJPY,M5
0.0059,6.29,134.69,0.13,-134.69,3785.8,620,donchian_break_c3e2df3a,USDJPY,M5
0.13,26.67,48.89,0.05,-48.89,7215.7,210,donchian_break_c808e1f8,USDJPY,M5
0.1925,22.39,69.01,0.07,-68.6,10786.6,268,donchian_break_ff63572a,USDJPY,M5
0.0576,25.07,156.7,0.16,-156.66,4371.0,714,ema_cross_05fb5502,USDJPY,M5
0.154,23.28,68.87,0.07,-68.71,5994.1,305,ema_cross_12b3b7f5,USDJPY,M5
0.0745,10.52,133.41,0.13,-133.24,3045.1,599,ema_cross_13cabf4a,USDJPY,M5
0.0163,3.72,146.0,0.15,-146.0,2277.9,646,ema_cross_1426d360,USDJPY,M5
0.2058,25.0,76.22,0.08,-76.04,9054.5,336,ema_cross_22facf43,USDJPY,M5
